fold,seed,detector,k,auroc,coverage,cov_gap
3,1,H&S,20,0.6747821144372869,0.6043956043956045,-0.19560439560439558
3,1,SAFE-Embed,5,0.6187002652519894,0.8791208791208791,0.07912087912087906
3,1,SAFE-Embed,8,0.6490147783251231,0.8681318681318682,0.06813186813186811
3,1,SAFE-Embed,10,0.6530882910193255,0.7472527472527473,-0.05274725274725278
3,1,SAFE-Embed,15,0.6721295945433876,0.7802197802197802,-0.01978021978021982
3,1,SAFE-Embed,20,0.6918340280409246,0.7582417582417582,-0.04175824175824183
4,0,SAFE-MLP,5,0.46994182288299935,0.7912087912087912,-0.008791208791208871
4,0,SAFE-MLP,8,0.47520546680210546,0.8241758241758241,0.02417582417582409
4,0,SAFE-MLP,10,0.47483608828146645,0.8021978021978022,0.00219780219780219
4,0,SAFE-MLP,15,0.565518515098347,0.7582417582417582,-0.04175824175824183
4,0,SAFE-MLP,20,0.6272970726752239,0.7472527472527473,-0.05274725274725278
4,0,H&S,5,0.7639671253116631,0.3516483516483516,-0.4483516483516484
4,0,H&S,8,0.7836365315356912,0.39560439560439564,-0.4043956043956044
4,0,H&S,10,0.7661833964354973,0.4505494505494505,-0.34945054945054954
4,0,H&S,15,0.7801274355896205,0.39560439560439564,-0.4043956043956044
4,0,H&S,20,0.7683996675593314,0.39560439560439564,-0.4043956043956044
4,0,SAFE-Embed,5,0.7828054298642534,0.9560439560439561,0.15604395604395604
4,0,SAFE-Embed,8,0.8028442146089205,0.9010989010989011,0.10109890109890107
4,0,SAFE-Embed,10,0.79167051435959,0.9010989010989011,0.10109890109890107
4,0,SAFE-Embed,15,0.7810508818912181,0.945054945054945,0.14505494505494498
4,0,SAFE-Embed,20,0.7868685935912827,1.0,0.19999999999999996
4,1,SAFE-MLP,5,0.5350447871456275,0.8021978021978022,0.00219780219780219
4,1,SAFE-MLP,8,0.5910056330224397,0.8021978021978022,0.00219780219780219
4,1,SAFE-MLP,10,0.5987625819558593,0.8131868131868132,0.01318681318681314
