fold,seed,detector,task,auroc,n
2,0,hand:cum_mean_token_prob,6,0.4161616161616162,63
2,0,hand:cum_mean_token_prob [task-rel],-1,0.5591032608695652,204
2,0,hand:cum_mean_token_prob [task-rel],0,0.5026014568158168,62
2,0,hand:cum_mean_token_prob [task-rel],4,0.5255376344086021,79
2,0,hand:cum_mean_token_prob [task-rel],6,0.6595959595959596,63
2,0,hand:cum_dpos,-1,0.508394798136646,204
2,0,hand:cum_dpos,0,0.568678459937565,62
2,0,hand:cum_dpos,4,0.4334677419354839,79
2,0,hand:cum_dpos,6,0.5161616161616162,63
2,0,hand:cum_dpos [task-rel],-1,0.4237189440993789,204
2,0,hand:cum_dpos [task-rel],0,0.5254942767950052,62
2,0,hand:cum_dpos [task-rel],4,0.3844086021505376,79
2,0,hand:cum_dpos [task-rel],6,0.3838383838383838,63
2,0,hand:cum_drot,-1,0.6085986024844721,204
2,0,hand:cum_drot,0,0.5379812695109261,62
2,0,hand:cum_drot,4,0.739247311827957,79
2,0,hand:cum_drot,6,0.6,63
2,0,hand:cum_drot [task-rel],-1,0.531735248447205,204
2,0,hand:cum_drot [task-rel],0,0.6462018730489074,62
2,0,hand:cum_drot [task-rel],4,0.5645161290322581,79
2,0,hand:cum_drot [task-rel],6,0.4111111111111111,63
2,0,hand:dgripper,-1,0.48214285714285715,204
2,0,hand:dgripper,0,0.46774193548387094,62
2,0,hand:dgripper,4,0.5,79
2,0,hand:dgripper,6,0.4696969696969697,63
2,0,hand:dgripper [task-rel],-1,0.476271350931677,204
2,0,hand:dgripper [task-rel],0,0.43912591050988553,62
2,0,hand:dgripper [task-rel],4,0.5100806451612904,79
2,0,hand:dgripper [task-rel],6,0.48535353535353537,63
2,1,SAFE-MLP,-1,0.7961956521739131,204
2,1,SAFE-MLP,0,0.6867845993756504,62
2,1,SAFE-MLP,4,0.8897849462365591,79
2,1,SAFE-MLP,6,0.9181818181818182,63
2,1,SAFE-MLP [task-rel],-1,0.49606948757763975,204
2,1,SAFE-MLP [task-rel],0,0.39438085327783556,62
2,1,SAFE-MLP [task-rel],4,0.5131048387096774,79
2,1,SAFE-MLP [task-rel],6,0.6494949494949495,63
