fold,seed,detector,frac,auroc
0,1,SAFE-Embed [task-rel],0.3,0.5665137614678899
0,1,SAFE-Embed [task-rel],0.4,0.5883526126844835
0,1,SAFE-Embed [task-rel],0.5,0.6378141204627045
0,1,SAFE-Embed [task-rel],0.6,0.6852812126047069
0,1,SAFE-Embed [task-rel],0.7,0.7222776226565616
0,1,SAFE-Embed [task-rel],0.8,0.7402273633825289
0,1,SAFE-Embed [task-rel],0.9,0.7573793378540088
0,1,SAFE-Embed [task-rel],1.0,0.7815117670522537
0,1,hand:cum_mean_token_entropy,0.1,0.4681890706023135
0,1,hand:cum_mean_token_entropy,0.2,0.4779617072197846
0,1,hand:cum_mean_token_entropy,0.3,0.5028919026725169
0,1,hand:cum_mean_token_entropy,0.4,0.577682489030714
0,1,hand:cum_mean_token_entropy,0.5,0.5676106900678102
0,1,hand:cum_mean_token_entropy,0.6,0.5771838851216593
0,1,hand:cum_mean_token_entropy,0.7,0.5710011966493818
0,1,hand:cum_mean_token_entropy,0.8,0.5892500997207818
0,1,hand:cum_mean_token_entropy,0.9,0.58905065815716
0,1,hand:cum_mean_token_entropy,1.0,0.5839648982848026
0,1,hand:cum_mean_token_entropy [task-rel],0.1,0.46828879138412444
0,1,hand:cum_mean_token_entropy [task-rel],0.2,0.45313123254886317
0,1,hand:cum_mean_token_entropy [task-rel],0.3,0.5182489030714
0,1,hand:cum_mean_token_entropy [task-rel],0.4,0.5529517351416036
0,1,hand:cum_mean_token_entropy [task-rel],0.5,0.5605305145592342
0,1,hand:cum_mean_token_entropy [task-rel],0.6,0.5617271639409653
0,1,hand:cum_mean_token_entropy [task-rel],0.7,0.5682090147586757
0,1,hand:cum_mean_token_entropy [task-rel],0.8,0.5659154367770244
0,1,hand:cum_mean_token_entropy [task-rel],0.9,0.5674112485041882
0,1,hand:cum_mean_token_entropy [task-rel],1.0,0.5666134822497009
0,1,hand:mean_token_entropy,0.1,0.5450737933785401
0,1,hand:mean_token_entropy,0.2,0.5099720781810929
0,1,hand:mean_token_entropy,0.3,0.5164539289988034
0,1,hand:mean_token_entropy,0.4,0.4715795771838851
0,1,hand:mean_token_entropy,0.5,0.45941364180295174
0,1,hand:mean_token_entropy,0.6,0.46051057040287197
0,1,hand:mean_token_entropy,0.7,0.42211806940566415
0,1,hand:mean_token_entropy,0.8,0.4313921021140806
0,1,hand:mean_token_entropy,0.9,0.4182289589150379
0,1,hand:mean_token_entropy,1.0,0.4094535301156761
0,1,hand:mean_token_entropy [task-rel],0.1,0.5286198643797367
0,1,hand:mean_token_entropy [task-rel],0.2,0.49331870761866775
0,1,hand:mean_token_entropy [task-rel],0.3,0.4946150777822098
0,1,hand:mean_token_entropy [task-rel],0.4,0.4843438372556841
0,1,hand:mean_token_entropy [task-rel],0.5,0.4834463502193857
0,1,hand:mean_token_entropy [task-rel],0.6,0.4855404866374152
0,1,hand:mean_token_entropy [task-rel],0.7,0.4771639409652972
0,1,hand:mean_token_entropy [task-rel],0.8,0.48045472676505785
0,1,hand:mean_token_entropy [task-rel],0.9,0.48055444754686877
0,1,hand:mean_token_entropy [task-rel],1.0,0.4762664539289988
0,1,hand:cum_max_token_entropy,0.1,0.5178500199441564
0,1,hand:cum_max_token_entropy,0.2,0.5247307538891105
0,1,hand:cum_max_token_entropy,0.3,0.5265257279617073
0,1,hand:cum_max_token_entropy,0.4,0.5531511767052254
0,1,hand:cum_max_token_entropy,0.5,0.54936178699641
0,1,hand:cum_max_token_entropy,0.6,0.5662145991224571
0,1,hand:cum_max_token_entropy,0.7,0.5686078978859195
0,1,hand:cum_max_token_entropy,0.8,0.563621858795373
0,1,hand:cum_max_token_entropy,0.9,0.5796769046669326
0,1,hand:cum_max_token_entropy,1.0,0.5755883526126845
0,1,hand:cum_max_token_entropy [task-rel],0.1,0.5087754287993618
0,1,hand:cum_max_token_entropy [task-rel],0.2,0.5120662145991225
0,1,hand:cum_max_token_entropy [task-rel],0.3,0.47576785001994415
0,1,hand:cum_max_token_entropy [task-rel],0.4,0.46788990825688076
0,1,hand:cum_max_token_entropy [task-rel],0.5,0.47337455125648187
0,1,hand:cum_max_token_entropy [task-rel],0.6,0.4698843238930993
0,1,hand:cum_max_token_entropy [task-rel],0.7,0.4596130833665736
0,1,hand:cum_max_token_entropy [task-rel],0.8,0.45941364180295174
0,1,hand:cum_max_token_entropy [task-rel],0.9,0.45951336258476266
0,1,hand:cum_max_token_entropy [task-rel],1.0,0.45941364180295174
0,1,hand:cum_mean_token_prob,0.1,0.5526525727961707
0,1,hand:cum_mean_token_prob,0.2,0.5526525727961707
0,1,hand:cum_mean_token_prob,0.3,0.5526525727961707
0,1,hand:cum_mean_token_prob,0.4,0.5526525727961707
0,1,hand:cum_mean_token_prob,0.5,0.5526525727961707
0,1,hand:cum_mean_token_prob,0.6,0.5526525727961707
0,1,hand:cum_mean_token_prob,0.7,0.5526525727961707
0,1,hand:cum_mean_token_prob,0.8,0.5526525727961707
0,1,hand:cum_mean_token_prob,0.9,0.5526525727961707
0,1,hand:cum_mean_token_prob,1.0,0.5526525727961707
0,1,hand:cum_mean_token_prob [task-rel],0.1,0.525528520143598
0,1,hand:cum_mean_token_prob [task-rel],0.2,0.46679297965696054
0,1,hand:cum_mean_token_prob [task-rel],0.3,0.5051854806541684
0,1,hand:cum_mean_token_prob [task-rel],0.4,0.5363980853609892
0,1,hand:cum_mean_token_prob [task-rel],0.5,0.5458715596330275
0,1,hand:cum_mean_token_prob [task-rel],0.6,0.5462704427602713
0,1,hand:cum_mean_token_prob [task-rel],0.7,0.5440765855604308
0,1,hand:cum_mean_token_prob [task-rel],0.8,0.5455723972875948
0,1,hand:cum_mean_token_prob [task-rel],0.9,0.5501595532508975
0,1,hand:cum_mean_token_prob [task-rel],1.0,0.548065416832868
